Date,Forecast_Sales,Lower_Bound,Upper_Bound
2010-02-05,47841542.84535762,43252438.587116115,52453078.05354359
2010-02-12,48544499.786680646,43989794.83882523,52899783.805676706
2010-02-19,47161535.19245018,42668855.70579959,51468634.29623938
2010-02-26,45946095.88040886,41364974.791421235,50278885.482973255
2010-03-05,45670369.44467405,41296653.735703334,50322053.63355636
2010-03-12,45611856.711091116,40711023.973135084,49807943.71206541
2010-03-19,45259751.84177356,41061523.14661553,49678275.266228504
2010-03-26,45137831.685061485,40752284.5754869,49281556.3457587
2010-04-02,45818678.07064467,41558559.85430956,50039248.367013246
2010-04-09,46781328.462903164,42373254.59744392,51142561.596353084
2010-04-16,46859296.962210275,42507086.95586657,51134359.251044266
2010-04-23,45747373.420678146,41222573.97336969,50174464.250951126
2010-04-30,44542807.832192495,40515539.27720387,49005969.26159016
2010-05-07,44537878.27241158,39748942.68777137,48952850.027012795
2010-05-14,45752071.41097821,41327124.8475819,50045321.19599099
2010-05-21,47011524.192081876,42770623.12382327,52006496.00452599
2010-05-28,47394744.57168518,42900784.17800105,51889058.00274258
2010-06-04,47189414.676456586,42469816.082502484,51768315.82007898
2010-06-11,47254261.45228674,42729425.16910319,51627823.75536526
2010-06-18,47765446.827657305,43529583.342463575,52192235.111609735
2010-06-25,48012609.037205845,43879037.57026324,52498127.76811135
2010-07-02,47413212.54298613,42825928.31023995,52099188.879016206
2010-07-09,46316025.46457589,41542414.00846305,50843248.14255314
2010-07-16,45554286.07786133,41044458.65201342,49765156.56212491
2010-07-23,45443526.837673075,40975532.40122587,49882956.27325304
2010-07-30,45599826.74251085,40984494.50611065,49829438.64984387
2010-08-06,45710646.83939428,41085762.56177938,50326497.84787109
2010-08-13,46019755.982289724,41602754.44827786,50400513.59871659
2010-08-20,46743065.75392372,41919073.76585461,51107494.06316671
2010-08-27,47291460.11415928,42732531.42797126,51552469.531341724
2010-09-03,46649518.786155775,42537226.17780492,50910784.58003143
2010-09-10,44708059.50176133,40696418.065252684,49000622.19004341
2010-09-17,42807014.0707644,38498267.121715136,47543022.03371975
2010-09-24,42479228.291821,38107016.945350505,47018024.67764629
2010-10-01,43703307.065472096,39141354.093599,48239459.89647672
2010-10-08,44865490.89994685,40618233.36816023,49561497.192794695
2010-10-15,44679059.917961076,39945529.12748273,49246515.02440959
2010-10-22,43800526.18563745,39349389.34890938,48095914.14166626
2010-10-29,44075047.095090196,39703874.042265266,48531125.733992524
2010-11-05,46276447.2898871,41900614.105445445,50904127.69632406
2010-11-12,49180809.14228633,44747605.470593885,53788863.77311223
2010-11-19,51251713.02051547,46637982.50945433,55489716.731989704
2010-11-26,52806126.36982842,48696885.826749526,56957359.26955399
2010-12-03,55637209.53191673,51209662.115808375,59962271.66201632
2010-12-10,60178275.001585215,55663501.64914491,64426666.67077462
2010-12-17,63646252.18402961,59117851.15307324,67942418.84010378
2010-12-24,62008075.5257878,57435224.056711614,66545205.76482349
2010-12-31,54217978.38597509,49967629.66081002,58854212.40525212
2011-01-07,44162286.00155616,40067622.1752275,48578688.85715075
2011-01-14,37790805.40607657,33507142.84938146,42323368.07028508
2011-01-21,38076256.29355417,33908861.29471177,42498425.73782531
2011-01-28,42824410.26787021,38453219.00982705,47255355.45692104
2011-02-04,47289202.60794146,42749787.772032864,51653849.00616275
2011-02-11,48582875.90432494,44342196.97098427,53094331.96303919
2011-02-18,47404579.716670685,43111149.942763165,51831722.42346202
2011-02-25,46056407.75941921,41896789.67662539,50591890.27965665
2011-03-04,45655665.25672795,40970340.047482006,50134755.356917724
2011-03-11,45637317.37549052,41351668.555491,50261029.28446155
2011-03-18,45337656.25868342,41083355.71191973,50017945.77703559
2011-03-25,45126683.258918166,40536085.486841634,49601852.51092409
2011-04-01,45681359.600691095,41093370.375951044,50232929.304896735
2011-04-08,46695098.438605994,42339947.7494896,51117022.23696589
2011-04-15,47011573.556658134,42487056.77891526,51852503.32540511
2011-04-22,46080088.219469614,41876980.89185181,50731961.24457538
2011-04-29,44794551.02210459,40284006.50969021,49030635.10562449
2011-05-06,44542480.42868691,39774395.07104691,48867971.49902179
2011-05-13,45621649.00647192,41274103.53112346,49942107.2149314
2011-05-20,46984285.021327265,42650894.63643311,51735672.782301754
2011-05-27,47553902.81371678,43010590.59372854,51682328.71631528
2011-06-03,47405064.69974572,43054677.36804513,51920967.173956916
2011-06-10,47393257.88807427,42904027.856253006,51976541.76526187
2011-06-17,47876408.18856799,43319592.66312855,52024002.91121677
2011-06-24,48249525.612404846,43835709.236907884,52580908.246182464
2011-07-01,47820197.114063695,43202072.76874635,52234183.88907245
2011-07-08,46766688.582474194,42453413.94305597,51144092.11767824
2011-07-15,45913298.47475474,41401364.64637958,50413788.702454515
2011-07-22,45717473.99267196,41061256.89515301,50282266.02365431
2011-07-29,45879076.20848551,41341580.9062875,50042175.4632454
2011-08-05,46010323.5450909,41546516.643643446,50667566.94637318
2011-08-12,46269939.33025315,41713769.67828319,50783657.64730578
2011-08-19,46951547.1976776,42430592.12542435,51362569.93320664
2011-08-26,47625250.90280349,43476749.492924415,52190504.686634086
2011-09-02,47262913.27405282,42989556.91972946,51846909.08442146
2011-09-09,45506225.568223655,40925352.69385366,49684348.89347407
2011-09-16,43480461.99953672,39085076.9911944,47785105.27077444
2011-09-23,42829900.77742249,38378105.77607946,47489317.89627506
2011-09-30,43883336.42383033,39462073.17352487,48473023.08463498
2011-10-07,45207355.39046747,40482212.26919139,49588107.76238141
2011-10-14,45291403.39593434,40470101.28424465,49712325.38321657
2011-10-21,44421590.366364405,40164716.6707988,49064842.68935936
2011-10-28,44389224.09877975,39880594.93655227,48888432.23297037
2011-11-04,46301889.85933831,41757318.465901405,50585521.99504957
2011-11-11,49233740.03134242,44649810.38503475,53502889.493586436
2011-11-18,51512719.97433031,47063229.27091092,56207869.32185561
2011-11-25,53052072.44400622,48492653.5058113,57381556.50884965
2011-12-02,55553723.20557705,50965378.92699153,59837953.03075424
2011-12-09,59913802.19191573,55379949.990448155,64396473.50620522
2011-12-16,63898240.55152908,59389223.829392314,68119919.58738914
2011-12-23,63394740.55222729,59068506.53579199,67914728.618474
2011-12-30,56557874.04489582,51705121.24534889,61222528.31201183
2012-01-06,46470898.264314145,42017668.900781125,51082672.401956506
2012-01-13,39089478.01039559,34673845.34604362,43550997.90248032
2012-01-20,38216794.2795465,33327295.7826284,42787277.08149719
2012-01-27,42509951.35927674,38303290.91921361,46930940.968176305
2012-02-03,47343182.71608594,43046354.47935339,51556244.5992556
2012-02-10,49251557.61250043,44612867.33699555,53937524.99194656
2012-02-17,48354979.951132074,43793848.72217891,52655301.63033692
2012-02-24,46900379.85957572,42377854.22737121,51371826.92078403
2012-03-02,46340815.743062295,41906360.9867523,50909404.02945646
2012-03-09,46327380.42166835,42028008.70176473,51028889.099461995
2012-03-16,46083842.77246562,41358642.5631162,50716648.27630375
2012-03-23,45798906.03023338,41282483.92041828,50354123.95467346
2012-03-30,46202248.96928897,41737196.911656655,50603265.02732279
2012-04-06,47210511.13683551,42793369.80706811,51721295.37701033
2012-04-13,47730177.52648451,43225717.8468129,51926310.12845635
2012-04-20,46995493.74674369,42423118.262061276,51444419.460064135
2012-04-27,45662910.19968329,40996693.26548168,50334932.297170706
2012-05-04,45158707.63094244,40917626.16611776,49758157.99725784
2012-05-11,46050066.696511164,41509578.728891715,50440688.294202484
2012-05-18,47462678.68228842,42993215.70398226,51667896.71204849
2012-05-25,48207055.099624574,43875434.40036788,52854359.616603844
2012-06-01,48130099.677459516,43564317.53154677,52549364.863833465
2012-06-08,48038525.676878884,43411459.37579374,52623705.00071294
2012-06-15,48455597.825046994,43824442.62254906,53172129.64346234
2012-06-22,48913630.89090013,44470662.22750439,53539907.749119155
2012-06-29,48644745.50722888,44303084.58592898,53166050.15394153
2012-07-06,47648357.82595678,43046451.35473497,52068380.29923488
2012-07-13,46703026.590588056,42379549.927141845,50760011.39169429
2012-07-20,46394278.73188748,41971938.823645696,50869825.3444967
2012-07-27,46530658.18089179,41999529.864442855,51474167.929650955
2012-08-03,46672638.901498094,42257083.45218211,51172124.67856312
2012-08-10,46878899.97238892,42595406.04290368,51048277.18008459
2012-08-17,47488795.58006048,43428142.76085177,51952394.37828988
2012-08-24,48235001.75927808,43651558.438399605,52830382.76646306
2012-08-31,48122081.63944612,43897659.02041565,52370653.97731278
2012-09-07,46572823.45420743,42125314.91041877,50913703.132431425
2012-09-14,44464391.34880692,40045676.65020486,49103476.538732484
2012-09-21,43486956.12885977,39051647.249569416,47890905.130067095
2012-09-28,44302813.50242642,39840658.82025323,49112401.23776975
2012-10-05,45718588.90045689,41138711.02252714,50268849.19196555
2012-10-12,46067013.711807884,42028140.41986273,50383299.62724176
2012-10-19,45255813.85079049,40945893.752647676,49564664.84577045
2012-10-26,44942109.49085589,40190373.659872055,49240459.6257544
2012-10-28,45183906.12754401,40655091.30732776,49700744.62044452
2012-11-04,47282982.22774121,42577044.48017587,52029324.25313393
2012-11-11,50213796.96934852,45922924.43488399,54537860.75297189
2012-11-18,52375850.279988185,47764177.339771144,56773746.064087234
2012-11-25,53923092.63363602,49299676.3834898,58341103.35822041
2012-12-02,56625701.189043306,52077347.15848411,61096067.97444799
2012-12-09,61111283.12998609,56676692.812128946,65559626.78328664
2012-12-16,64809705.06277002,60170605.655934885,69055710.544671
2012-12-23,63636913.93037772,59203223.87285185,67757360.52747291
2012-12-30,56218905.18439334,51807574.31321542,60828391.81351911
2013-01-06,46131157.41168785,41656587.5262894,50831085.42401456
2013-01-13,39347041.635067925,35406288.151476175,43596292.94315897
